price_per_sqft,property_type,property_year,home_style,description,beds,bath,sqft,lotsize,property_id
$595,Single Family Home,2006,2006,"Views, privacy and luxury! Vacation lifestyle. Best priced luxury home in Los Altos Hills.
            Approx. 4beds plus office, 4.5baths. 30 minutes scenic drive from Stanford to the property. Blending luxury,
            tranquility, and natural beauty. This extravagant home makes a commanding first impression with its wrap
            around craftsman style facade that harmoniously embraces 10 acres of majestic outdoor setting. Ultimate
            privacy, well-crafted home of 5, 008 sq. ft. with amazing views of the Bay and mountains from every window.
            Multiple-Zones, 4BD/4.5BA, plus home office/ library, theater, sewing room, Rec room, lots of storage, 3-car
            garages, 3-levels, and array of high-tech amenities. Easy access to local trails. Escape from the Silicon
            Valley and Retreat to this secluded property. Los Altos High.
        ",4,4.5,"5,008",10.0,151
"$1,184",Single Family Home,1950,1950,"Space For Everyone This excellent, spacious, remodeled South Palo Alto home provides you
            with ample flexible space to enable your family's pursuits. Four bedrooms and two baths downstairs provide
            ample ground floor accommodations. A huge master suite and one more bedroom upstairs give you yet more
            choices. The cheerful kitchen features modern appliances and finishes. Granite counter tops with high
            granite backsplash provide an attractive durable surface. A tile floor resists spills. Recessed lighting, a
            skylight, and raised panel stained wood cabinets make the kitchen bright and inviting. Located on a
            cul-de-sac within walking distance of shops and parks, your home will be peaceful yet have nearby amenities.
        ",6,3,"2,745","6,000",152
"$1,924",Single Family Home,1923,1923,"This expanded bungalow has been transformed by incorporating modern design while retaining
            it's 1920's character. A welcoming front porch & a charming entry are reminders of the home's
            architectural heritage and lead to a dramatic light-flooded living room with a soaring ceiling and
            clerestory windows. The open family kitchen features honed white stone counters with a chic subway tile
            splash and stainless appliances. A huge center island expands workspace & provides a dining bar for
            informal meals. A convenient mud room with beadboard wainscoting provides additional storage. There are 3
            bedrooms, including a master suite with vaulted ceiling, & 2 remodeled baths. A brick patio with pergola
            overlooks the private, peaceful rear garden. A detached garage, used as a home office presents a
            work-from-home option. Located in Palo Alto's desirable Old Palo Alto neighborhood, the home is blocks to
            outstanding schools, & near Stanford University, & Town & Country Shopping Center and downtown.
        ",3,2,"1,663","5,000",153
"$2,161",Single Family Home,1930,1930,"Located in highly desirable Barron Park, opportunity awaits to build new, remodel or live in
            this cozy 2 bedroom, 1 bathroom home of approximately 923 square feet. Conveniently located with easy access
            to El Camino Real, this home features hardwood flooring in the living and dining room with a partially
            renovated kitchen with granite countertops and subway tile backsplash. The bathroom has a jetted tub with
            shower combination. The back patio is perfect for entertaining. Beyond the patio is a small workshop space
            along with a carport and additional yard space. Excellent Palo Alto schools. Close to shopping, restaurants,
            coffee shops, parks and hiking trails.
        ",2,1,923,"5,852",154
"$1,967",Single Family Home,2017,2017,"Designed and built by Connect Homes just 4 years ago with sleek modern lines, thoughtful
            features, perfectly integrated metal and wood accented exterior, and an open floor plan. Each room features
            an expanse of glass bringing the outdoors in, and a crisp neutral palette ready for any style furnishings.
            Greeted by an inviting bluestone path to the covered front entrance, where the front door is set in a full
            wall of glass. At the front of the home enjoy a one-of-a-kind dining experience beneath two sets of
            clustered glass pendant lights, continue through the great room to the absolutely spectacular chefs kitchen,
            and finish at the rear of the home with the serene living room opening to the gardeners dream rear yard. The
            master bedroom suite offers true privacy and luxury with a spa-like bath and wall of windows. Realize your
            garden dreams in the private rear yard with raised vegetable beds interspersed with iron planters. A true
            joy to experience, four blocks to California Avenue.
        ",3,2,"1,778","6,188",155
"$1,670",Single Family Home,1947,1947,"Charming 3 bedroom 2 bath home located in the desirable Green Acres neighborhood. Next to
            Juana Briones Park and across the street from Juana Briones Elementary school! The new flagstone walkway
            leads to the inviting front porch surrounded by lovely landscaped drought tolerant gardens. Freshly painted.
            Updated bathrooms and designer kitchen with a master suite addition including a walk-in closet and loft
            bedroom and views to the park. The square footage of the interior is approximately 1785 sq. ft. with the
            permitted addition. This does not include the bonus room approximately 200 sq. ft. (permits unknown).
            Situated on a rectangular 7815 sq. ft. lot per the City of Palo Alto parcel report. The backyard features a
            vegetable garden and drought tolerant plants.
        ",3,2,"1,646","7,815",156
"$1,459",Multi-Family Home,1957,1957,"Newly updated, rarely available duplex in highly desirable Professorville location. Perfect
            for extended families, dual ownership or investment. First floor unit features 3 beds/2 baths with
            beautifully manicured gardens, private backyard & patio with room to entertain. Sun-filled 2 bed/1 bath
            unit upstairs with oversized deck ideal for outdoor entertainment. Each unit has separate one car garage
            with washer/dryer and built-in cabinets. Freshly painted interior and exterior. Walking distance to Town
            & Country, Stanford, Paly & Downtown. Top-rated schools (Addison Elementary, Greene Middle, Palo
            Alto High (buyer to verify availability).
        ",,,"1,895","5,615",157
"$2,438",Multi-Family Home,1947,1947,,,,"3,276",0.49,158
$898,Condo/Townhome/Row Home/Co-Op,1980,1980,"Rare spacious, completely renovated single-level, 3-bedroom condo in the highly desirable
            Barron Square Community of Palo Alto. Designers kitchen with quartz countertops, tile backsplash, recess
            lighting and stainless steel appliances. Large living room looking out to private patio, perfect for
            entertaining and kids to play. Vaulted ceiling in Master bedroom, and a walk-in closet with organizers
            customly installed. Large laundry room with lots of storage space. 1 car garage with 1 assigned parking
            space, plus abundant road side parking. The community has a gated pool, tennis courts and a clubhouse.
            Outstanding Palo Alto schools. Enjoy the nearby shopping, dining, parks and the renowned Stanford U. Short
            commute to most major tech companies in Silicon Valley. Dont miss the chance to own your home in Palo Alto!
        ",3,2,"1,890",,159
$595,Single Family Home,2006,2006,"Views, privacy and luxury! Vacation lifestyle. Best priced luxury home in Los Altos Hills.
            Approx. 4beds plus office, 4.5baths. 30 minutes scenic drive from Stanford to the property. Blending luxury,
            tranquility, and natural beauty. This extravagant home makes a commanding first impression with its wrap
            around craftsman style facade that harmoniously embraces 10 acres of majestic outdoor setting. Ultimate
            privacy, well-crafted home of 5, 008 sq. ft. with amazing views of the Bay and mountains from every window.
            Multiple-Zones, 4BD/4.5BA, plus home office/ library, theater, sewing room, Rec room, lots of storage, 3-car
            garages, 3-levels, and array of high-tech amenities. Easy access to local trails. Escape from the Silicon
            Valley and Retreat to this secluded property. Los Altos High.
        ",4,4.5,"5,008",10.0,160
"$1,546",Single Family Home,1925,1925,"Situated in the beautiful and legendary Crescent Park neighborhood, this discrete
            Mediterranean home spans two spacious levels and is oriented to the beauty of the surroundings. Hardwood
            floors unify the entire open floor plan connecting the public rooms with an effortless flow. Extending from
            the living room, as well the family room, are wonderful outdoor venues, an enclosed private courtyard w/fire
            pit, water feature, and lush plantings. The remodeled kitchen offers wraparound counter seating and
            top-of-the-line appliances. A downstairs bedroom suite is ideal for guests or a perfect office for todays
            work-from-home needs. Upstairs are three bedrooms, including the master suite w/fireplace and a renovated en
            suite bath with luxurious appointments. The gardens' captivating design offers complete privacy and
            complements the homes Mediterranean style. Just minutes to downtown Palo Alto and tech centers are a gentle
            reminder that this wonderful escape is in the heart of Silicon Valley.
        ",4,4,"3,073",0.23,161
"$1,194",Condo/Townhome/Row Home/Co-Op,1979,1979,"Combination of acclaimed Palo Alto schools and easy commute, this is your great opportunity
            to own a townhouse with a single-family-house feel in Palo Alto. Renovated throughout, this sought-after San
            Antonio Village 3 bedroom 2.5 bathroom townhouse has a bright and airy floor plan with 1380 square feet
            living space. Dramatic 10 ft ceilings. Upgraded kitchen with stainless steel appliances. Separate dining
            room with extra-large sliding doors lead to the large backyard. Updated bathrooms with marble tile. Spacious
            master bedroom with high ceiling, walk-in closet, and a patio. High-quality hardwood floors in the living
            area and carpet with new technology padding in stairs and bedrooms. Newer light fixtures add beauty to the
            house. Easy access to commute routes and public transportations. Perfect place to enjoy all the benefits of
            entertainment and family activity facilities in Palo Alto, Mountain View, and Los Altos downtown. Buyer to
            verify schools.
        ",3,2.5,"1,380","1,176",162
"$1,459",Multi-Family Home,1957,1957,"Newly updated, rarely available duplex in highly desirable Professorville location. Perfect
            for extended families, dual ownership or investment. First floor unit features 3 beds/2 baths with
            beautifully manicured gardens, private backyard & patio with room to entertain. Sun-filled 2 bed/1 bath
            unit upstairs with oversized deck ideal for outdoor entertainment. Each unit has separate one car garage
            with washer/dryer and built-in cabinets. Freshly painted interior and exterior. Walking distance to Town
            & Country, Stanford, Paly & Downtown. Top-rated schools (Addison Elementary, Greene Middle, Palo
            Alto High (buyer to verify availability).
        ",,,"1,895","5,615",163
