house_location,price,rooms,bedrooms,baths,levels,basement,garage,suburb,school_dist,mls,house_type,firm,firm_phone,agent,agent_phone,house_description,construction,heating,cooling,fireplace,gas,water,sewer,lot_dimensions,condo_level,hoa_fee,semiannual_taxes,bath_1_dimension,bath_1_level,bath_2_dimension,bath_2_level,bedroom_2_dimension,bedroom_2_level,bedroom_3_dimension,bedroom_3_level,dining_dimension,dining_level,family_dimension,family_level,kitchen_dimension,kitchen_level,laundry_dimension,laundry_level,living_dimension,living_level,master_dimension,master_level,directions,breakfast_dimension,breakfast_level,bath_3_dimension,bath_3_level,study_dimension,study_level,bedroom_4_dimension,bedroom_4_level,bedroom_5_dimension,bedroom_5_level,bath_4_dimension,bath_4_level,recreation_room_dimension,recreation_room_level
8 GUARDIAN DRIVE,"$243,400 ",9,4,1-Feb,2 Story,Full,"2 Cars (Builtin,Front)",WILDER,CAMPBELL CO,250331,Single Family,FISCHER MANAGEMENT,(606) 341-4709,R. CASEY HUBER,(606) 341-4709,NEW FISCHER HOME THE ANDOVER MODEL #606-781-7107,"Brick,Vinyl","Gas,Forced Air",Central Air,Gas,Natural,Public,Public,IRREG LOT,,0,$0 ,PART,1,FULL,2,11 X 12,2,12 X 13,2,13 X 11,1,19 X 15,1,13 X 11,1,,1,13 X 12,1,13 X 17,2,WILDER-OFF JOHNS HILL ROAD CALL 606-781-7107,12 X 10,1,FULL,2,,,13 X 12,2,,,,,,
1 GUARDIAN DRIVE,"$237,800 ",10,4,1-Feb,2 Story,Full,"2 Cars (Builtin,Side)",WILDER,CAMPBELL CO,246575,Single Family,FISCHER MANAGEMENT,(606) 341-4709,R. CASEY HUBER,(606) 341-4709,NEW FISCHER HOME THE JEFFERSON II MODEL #606-781-7107,"Brick,Vinyl","Gas,Forced Air",Central Air,Gas,Natural,Public,Public,IRREG LOT,,0,$0 ,PART,1,FULL,2,12 X 11,2,12 X 13,2,14 X 11,1,20 X 23,1,12 X 11,1,,1,13 X 16,1,13 X 16,2,"WILDER-OFF OF JOHNS HILL ROAD CALL 781-7107
ANYTIME",11 X 11,1,FULL,2,12 X 10,1,10 X 11,2,,,,,,
3 GUARDIAN DRIVE,"$226,100 ",10,4,1-Feb,2 Story,Full,"2 Cars (Builtin,Front)",WILDER,CAMPBELL CO,247284,Single Family,FISCHER MANAGEMENT,(606) 341-4709,R. CASEY HUBER,(606) 341-4709,NEW FISCHER HOME THE ST. ANDREWS MODEL #606-781-7107,"Brick,Vinyl","Gas,Forced Air",Central Air,Gas,Natural,Public,Public,irreg lot,,0,$0 ,PART,1,FULL,2,14 X 12,2,11 X 13,2,14 X 12,1,20 X 17,1,11 X 11,1,,1,14 X 12,1,14 X 19,2,"WILDER-OFF JOHNS HILL ON LEFT CALL 606-781-7107
ANYTIME",10 X 11,1,FULL,2,,,10 X 12,2,,,,,,
6 ELM,"$129,900 ",10,4,1-Jan,2 Story,Full,"1 Car (Builtin,Front)",WILDER,CAMPBELL CO,247322,Single Family,HUFF REALTY,(606) 781-5100,LORENA ZIEGLER,(606) 781-5100,"4 BDRM 2 STORY BRICK, 1ST FL FAM RM, NEW KIT W/LITE WOOD CAB & PANTRY,
LG LIV RM, FORM DIN RM, HDWD FLRS THRU-OUT, LG BDRMS, LEVEL LOT
W/WOODS, DBL LOT, REC RM W/BAR, OVERSIZED GAR, WALKOUT, TO SETTLE
ESTATE, PRICED TO SELL","Brick,Wood,Alum","Gas,Forced Air",Central Air,None,Natural,Public,Public,100 X 120,,0,"$9,999 ",FULL,2,PART,1,11 X 12,2,10 X 14,2,9 X 12,1,11 X 15,1,8 X 11,1,11 X 14,L,12 X 16,1,12 X 14,2,"SO ON LICKING PIKE TO RT ON NORTH TO LT ON ELM
ST",10 X 11,1,,,,,11 X 11,2,,,,,11 X 25,L
3 BEVERLY DRIVE,"$115,900 ",10,4,1-Feb,1.5 Story,Full,None,WILDER,CAMPBELL CO,248821,Single Family,COLDWELL BANKER WEST SHELL,(606) 525-7000,KATHLEEN STEFFEN,(606) 525-7000,"LOCATION LOCATION! 5 MINUTES FROM EVERYTHING. 4BD 2.5BATH, LR, DR,
GALLEY KITCHEN FAMILY ROOM, REC ROOM, LAUNDRY/WORKSHP. BUCK STOVE IN
FAM RM. FRESH LY PAINTED,NEW CARPET THROUGHOUT, NEW ROOF. MOVE IN
TODAY",Brick,"Gas,Forced Air",Central Air,None,Natural,Public,Public,IRREG,,0,$0 ,FULL,1,FULL,2,14 X 10,2,12 X 11,1,11 X 8,1,23 X 13,L,8 X 8,1,18 X 12,L,16 X 12,1,16 X 15,2,MOOCK ROAD TO BEVERLY DRIVE,,,PART,L,,,10 X 9,1,,,,,16 X 11,L
400 LAKEVIEW DR,"$70,900 ",5,2,Feb-00,3 Story,None,None,WILDER,CAMPBELL CO,248106,Condominium,RE/MAX AFFILIATES INC,(606) 341-0500,CAROLYN GRIEME,(606) 341-0500,"3RD FLR CONDO - LR OFFERS VAULTED CEILING & WBFP - WASHER & DRYER
INCLUDED - VALLEY VIEW - IMMEDIATE OCCUPANCY - SELLER WILL PAY
ASSESSMENT","Brick,Wood","Electric,Forced Air",Central Air,Wood,None,Public,Public,n/a,3,118,$#,FULL,3,FULL,3,11 X 13,3,,,8 X 11,3,,,8 X 10,3,5 X 8,3,17 X 13,3,12 X 13,3,"US 27 TO MOOCK RD TO BENTWOOD HILLS TO
LAKEVIEW DR",,,,,,,,,,,,,,
400 LAKEVIEW DR,"$66,000 ",5,2,Feb-00,1 Story,None,None,WILDER,CAMPBELL CO,248743,Condominium,COLDWELL BANKER WEST SHELL,(606) 341-9000,MARY K ALLHOFF,(606) 341-9000,"NEUTRAL DECOR, 2ND FLOOR UNIT, FULLY EQUIPPED KITCHEN, LARGE WALK-IN
CLOSETS, EASY TO SHOW!","Brick,Wood",Electric,Central Air,None,None,Public,Public,N/A,2,118,$0 ,FULL,2,FULL,2,11 X 11,2,,,10 X 7,2,,,11 X 8,2,8 X 5,2,13 X 12,2,12 X 11,2,"US 27 TO MOOCK RD TO L AT BENTWOOD HILLS DR.
TO L ON LAKEVIEW DR.",,,,,,,,,,,,,,
80 CREEKWOOD DR,"$65,911 ",5,2,Feb-00,3 Story,None,None,WILDER,CAMPBELL CO,249342,Condominium,SIBCY-CLINE REALTORS INC,(606) 781-4400,HARRY A HIMEBAUGH,(606) 781-4400,"3RD FLR CONDO 2 BDRM 2 BA WBFP VAULTED CEILINGS LRG WALK IN CLOSETS
SEPARATE LAUNDRY. FRESHLY PAINTED. STOVE, REFRIGERATOR, WASHER & DRYER
STAY","Brick,Wood","Electric,Forced Air",Central Air,"Wood,Ceramic",None,Public,Public,0,3,103,$0 ,FULL,3,FULL,3,12 X 11,3,,,11 X 10,3,,,9 X 7,3,8 X 5,3,15 X 13,3,16 X 11,3,"US27 TO MOOCK RD TO BENTWOOD HILLS TO
CREEKWOOD",,,,,,,,,,,,,,
70 CREEKWOOD,"$63,410 ",5,2,Feb-00,3 Story,None,None,WILDER,CAMPBELL CO,248588,Condominium,SIBCY-CLINE REALTORS INC,(606) 781-4400,HARRY A HIMEBAUGH,(606) 781-4400,"2 BRDM 2 BATH CONDO OFFERS LARGE WALKIN CLOSETS AND SEPERATE LAUNDRY
AREA CONVENIENT TO EVERYTHING.","Brick,Wood","Electric,Forced Air",Central Air,None,None,Public,Public,0,3,104,$0 ,FULL,2,FULL,2,12 X 11,2,,,10 X 11,2,,,7 X 9,2,8 X 5,2,15 X 13,2,16 X 11,2,"US27 TO MOOCK RD TO BENTWOOD HILLS TO
CREEKWOOD DR",,,,,,,,,,,,,,
2986 GEORGE DR,"$103,900 ",6,3,1-Jan,Tri-Level,Part,"1 Car (Attached,Front)",BURLINGTON,BURLINGTON,249979,Single Family,ACTION REALTY,(606) 654-2121,GAYLE PRICE,(606) 654-2121,"CATHEDRAL CEILING, 12X10 STORAGE SHED, NEWER GARAGE DOOR & STORM
DOOR.NICE LANDSCAPING, NEW ROOF. A PLEASURE TO SHOW. REFRIGERATOR
STOVE, WASHER/DRYER AND DISHWASHER INCLUDED. NEUTRAL. PULL DEADBOLT
KEY SLIGHTLY FORWARD.","Brick,Vinyl","Electric,Forced Air",Central Air,"Wood,Brick",None,Public,Public,103x100,,0,$0 ,FULL,2,PART,L,10 X 11,2,10 X 9,L,,,15 X 14,L,13 X 12,1,,,13 X 13,1,13 X 11,2,KY 18 TO L ON EAST BEND RD TO L ON GEORGE,,,,,,,,,,,,,,
7793 PLSNT VALLEY,"$214,900 ",9,4,1-Feb,2 Story,Full,"2 Cars (Builtin,Side)",FLORENCE,BOONE COUNT,244295,Single Family,FISCHER MANAGEMENT,(606) 341-4709,R. CASEY HUBER,(606) 341-4709,NEW FISCHER HOME THE ST. ANDREWS MODEL # 606-3371-7506,"Brick,Vinyl","Gas,Forced Air",Central Air,Gas,Natural,Public,Public,irreg lot,,0,$0 ,PART,1,FULL,2,14 X 12,2,11 X 12,2,14 X 12,1,20 X 15,1,11 X 11,1,,1,14 X 14,1,14 X 19,2,"FLORENCE--OFF PLEASANT VALLEY ROAD CALL
1-606-371-7506 ANYTIME",10 X 11,1,FULL,2,,,10 X 12,2,,,,,,
146 VALLEY VIEW,"$109,900 ",5,3,1-Jan,1 Story,Full,1 Car (Builtin),SOUTHGATE,CAMPBELL CO,250075,Single Family,BROERING APPRAISAL & REALTY,(606) 781-2500,MARLENE BROERING,(606) 781-2500,"GREAT RANCH-SUPER LOCATION NEWER KITCHEN-WINDOWS-FURNACE AND AC. ABOVE
GROUND POOL-FENCED YARD-DECKING-COVERED PATIO-FAMILY ROOM",Brick,Gas,Central Air,None,Natural,Public,Public,999,,0,$NA,FULL,1,PART,L,10 X 10,1,11 X 10,1,,,25 X 16,L,16 X 12,1,14 X 9,L,16 X 14,1,12 X 10,1,US#27 TO BLOSSOM LEFT ON VALLEY VIEW,,,,,,,,,,,,,,
143 HARVARD PL,"$97,900 ",7,3,1-Jan,2 Story,Full,"1 Car (Builtin,Front)",SOUTHGATE,CAMPBELL CO,247053,Single Family,HUFF REALTY,(606) 781-5100,ELIZABETH S PRAST,(606) 781-5100,"WELL MAINTAINED CAPE COD ON CULDESAC*SOME NEWER WINDOWS*HARDWOOD FLS
THRU- OUT*GREAT LOCATION IN DESIREABLE NEIGHBORHOOD*STAINED GLASS
WINDOW BEHIND DINING ROOM MIRROR.",Wood,"Gas,Forced Air",Central Air,Wood,Natural,Public,Public,32 X 176,,0,"$9,999 ",FULL,2,PART,1,12 X 12,2,12 X 9,2,13 X 11,1,15 X 8,1,11 X 9,1,,,18 X 11,1,15 X 11,2,"ALEX PK TO BLUEGRASS TO LEFT ON ELECTRIC TO RT
ON BEECH TO RT ON HARVARD",,,,,,,,,,,,,,
70 VIEW TERRACE,"$62,750 ",5,2,Feb-00,1 Story,None,None,SOUTHGATE,CAMPBELL CO,247809,Condominium,RE/MAX AFFILIATES INC,(606) 341-0500,STEVEN J POPHAM,(606) 341-0500,"CLEAN & BRIGHT CONDO ALL NEUTRAL COLORS EQUIPPED KITCHEN W/MICROWAVE
ALSO INCLUDES WASHER/DRYER UNIT ON 2ND FL.ENJOY SWIMMING,
TENNIS,WORKOUT RM,HOT TUB & CLUBHOUSE.LOW ASSOC FEES.MIRROR IN BEDROOM
DOES NOT STAY","Brick,Wood","Electric,Heat Pump",Central Air,None,None,Public,Public,IRR,2,85,$0 ,FULL,2,FULL,2,12 X 12,2,,,12 X 11,2,,,9 X 7,2,6 X 3,2,13 X 15,2,11 X 16,2,"471 SOUTHGATE EXIT L ON US 27 L ON MOOCK RD
PASS FOXCHASE L INTO WOODLAND HILLS",,,,,,,,,,,,,,
5114 SHAW HESS RD,"$236,900 ",5,2,Feb-00,1 Story,Full,2 Cars (Detached),CAMPBELL CO,CAMPBELL CO,248512,Single Family,TEEGARDEN REALTY & AUCTION,(606) 635-1760,JAY TEEGARDEN,(606) 635-1760,"BEAUTIFUL MINI FARM WITH LIKE NEW BUILDINGS, BARN FOR HORSES, LRG.
LAKE GOOD FENCE, WELL MAINTAINED, MUST SEE TO APPRECIATE. PLENTY OF
PRIVACY.",Brick,Oil,None,Stove,None,Public,Septic,IRR,,0,$0 ,FULL,1,FULL,L,10 X 12,1,,,13 X 8,1,24 X 26,L,10 X 11,1,10 X 14,L,11 X 21,1,11 X 16,1,"PERSIMMON GROVE PIKE TO RIGHT ON SHAW HESS APP 1
& 1/2 MILES.",,,,,,,,,,,,,,
12 LABRADOR LN,"$179,900 ",6,3,Feb-00,1 Story,Full,"2 Cars (Builtin,Front)",ALEXANDRIA,CAMPBELL CO,249314,Single Family,ANTHONY ERPENBECK REAL ESTATE,(606) 635-7388,STEPHEN B JELEN,(606) 635-7388,"NEW SINGLE FAMILY HOME BY THE ERPENBECK CO IN ALEXANDRIA. PLEASE
CONTACT AGENT AT 448-9152 OR CELL# 513-652-2595 FOR SHOWING.","Brick,Wood,Vinyl","Gas,Forced Air",Central Air,Gas,Natural,Public,Public,80x300,,0,$0 ,FULL,1,FULL,1,11 X 10,1,13 X 11,1,,,20 X 17,1,12 X 9,1,8 X 12,1,,,16 X 13,1,"US 27 S TO R ON 915 AT NEW HIGH SCHOOL TO
STRAIGHT AHEAD",12 X 10,1,,,,,,,,,,,,
15 MALLARD DR,"$169,900 ",7,3,1-Feb,2 Story,Full,"2 Cars (Builtin,Side)",ALEXANDRIA,CAMPBELL CO,249302,Single Family,ANTHONY ERPENBECK REAL ESTATE,(606) 635-7388,STEPHEN B JELEN,(606) 635-7388,"NEW SINGLE FAMILY ERPENBECK HOME IN POND CREEK. PLEASE CONTACT AGENT
TO SHOW HOME AT 448-9152, CELL#513-624-7366.","Brick,Wood","Gas,Forced Air",Central Air,Gas,Natural,Public,Public,80x150,,0,$0 ,FULL,2,FULL,2,12 X 10,2,11 X 2,1,11 X 21,1,21 X 13,1,11 X 21,,10 X 6,B,,,13 X 17,2,"27 S TO R ON 915 AT THE NEW CAMPBELL CO HIGH
SCHOOL TO STRAIGHT AHEAD",19 X 0,1,PART,1,,,,1,,,,,,
3 PINTAIL CT,"$159,400 ",6,3,Feb-00,1 Story,Full,"2 Cars (Builtin,Side)",ALEXANDRIA,CAMPBELL CO,249312,Single Family,ANTHONY ERPENBECK REAL ESTATE,(606) 635-7388,STEPHEN B JELEN,(606) 635-7388,"NEW SINGLE FAMILY HOME BY THE ERPENBECK CO AT POND CREEK IN
ALEXANDRIA. CONTACT AGENT TO SHOW AT 448-9152 OR CELL#513-653-2595.","Brick,Wood","Gas,Forced Air",Central Air,None,Natural,Public,Public,80x150,,0,$0 ,FULL,1,FULL,1,12 X 12,1,12 X 11,1,10 X 10,1,,,11 X 9,1,8 X 10,1,20 X 16,1,15 X 12,1,"US 27 S TO R ON 915 AT NEW CAMPBELL CO HIGH
SCHOOL TO STRAIGHT AHEAD",,,,,,,,,,,,,,
11 LABRADOR LN,"$152,400 ",6,3,Feb-00,1 Story,Full,2 Cars (Attached),ALEXANDRIA,CAMPBELL CO,249308,Single Family,ANTHONY ERPENBECK REAL ESTATE,(606) 635-7388,STEPHEN B JELEN,(606) 635-7388,"NEW SINGLE FAMILY HOME BY THE ERPENBECK CO IN POND CREEK, ALEXANDRIA.
CONTACT AGENT AT MODEL 48-9152 OR CELL#513-652-2594 FOR MORE INFO.","Brick,Vinyl","Gas,Forced Air",Central Air,None,Natural,Public,Public,80x150,,0,$0 ,FULL,1,FULL,1,11 X 12,1,11 X 12,1,9 X 12,1,,,12 X 12,1,6 X 10,B,14 X 12,1,14 X 15,1,"S ON US 27 TO R ON LILCKERT RD AT NEW CAMPBELL
CO HIGH SCHOOL",,,,,,,,,,,,,,
102 LONDON ACRES,"$64,800 ",4,2,1-Jan,2 Story,None,None,NEWPORT,CAMPBELL CO,249622,Condominium,RE/MAX AFFILIATES INC,(606) 341-0500,JANE ASHCRAFT-WEST,(606) 341-0500,"SPECTACULAR TOWNHOME W/PRIVATE ENTRANCE/2ND FLOOR LAUNDRY/LARGE
COUNTER BAR FULLY EQUIPPED KITCHEN/NICE SIZED BEDROOMS/ TRIPLE PATIO
DOORS/BALCONY W/WOODED VIEW/LOTS OF CLOSET SPACE/2 RESERVED PARKING
SPACES/ & MORE!",Brick,"Electric,Heat Pump",Central Air,None,None,Public,Public,IRR,,65,$#,FULL,2,PART,1,12 X 11,2,,,,,,,12 X 12,1,5 X 3,2,17 X 13,1,13 X 12,2,"GRAND AVE TO CHURCHILL TO L ON NEWMAN TO R ON
KYLES TO STRAIGHT TO 102 LONDON ACRE",,,,,,,,,,,,,,
33 THOMAS POINTE,"$475,000 ",9,3,Mar-00,1 Story,Full,"2 Cars (Attached,Front)",FT THOMAS,CAMPBELL CO,249119,Condominium,SIBCY-CLINE REALTORS INC,(606) 781-4400,REBECCA ORTH,(606) 781-4400,"DETACHED UNIT-LAST ONE. WILL HAVE PRIVATE ENTRANCE WITH EXCEPTIONAL OF
DOWNTOWN CINCINNATI, NEWPORT, AND COVINGTON. LOADS OF EXTRA WINDOWS.
CALL NOW TO CUSTOMIZE.","Brick,Vinyl","Electric,Heat Pump",Central Air,"Wood,Marble",None,Public,Public,0,0,145,$0 ,FULL,1,FULL,1,13 X 13,1,16 X 12,L,13 X 16,1,26 X 16,L,11 X 13,1,5 X 6,1,13 X 16,1,16 X 13,1,"471 TO GRAND AVE EXIT N ON GRAND L CHURCH ILL,
L NEWMAN,L HUNTEMAN AROSS NOB HILL",,,FULL,L,12 X 16,L,,,,,,,,
7977 S PLEASANT VALLE,"$189,000 ",6,4,1-Feb,2 Story,Full,"2 Cars (Attached,Front)",FLORENCE,BOONE COUNT,242791,Single Family,HUFF REALTY,(606) 341-7400,WANETTA GILES,(606) 341-7400,"* CONVENIENT LOCATION NEAR FLORENCE * 3-4 BEDROOM * 2.5 BATHS * 2
STORY BRICK WITH NATURAL GAS, A/C * FULL WALKOUT BASEMENT * 26 X 20
GARAGE * SHARED DRIVEWAY * SOLARIUM 16 X 15 *","Brick,Vinyl","Gas,Forced Air",Central Air,None,Natural,Public,Public,104X309IR,,0,$N/A,FULL,1,PART,1,13 X 10,2,14 X 11,2,,,,,14 X 10,1,,,15 X 13,1,13 X 11,1,"US42 SOUTH, R ON PLEASANT VALLEY, 3 MILES ON
RIGHT",,,FULL,2,,,19 X 7,2,,,,,,
309 BLUESTONE CT,"$219,900 ",8,3,1-Feb,1 Story,Full,2 Cars (Attached),COLD SPRING,CAMPBELL CO,250104,Condominium,COLDWELL BANKER WEST SHELL,(606) 341-9000,BARB MASSMAN,(606) 341-9000,"THIS SPACIOUS END UNIT IS PROFESSIONALLY DECORATED. VOLUMINOUS
CATHEDRAL CEILINGS WITH 5 SKYLIGHTS, 2 FIREPLACES, 2 CAR GARAGE, LG
MASTER SUITE. 1ST FLR OFFICE & LAUNDRY OFFERS 1 FLR LIVING AT ITS
BEST. IMMED AVAIL.","Brick,Vinyl",Electric,Central Air,Wood,None,Public,Public,OF REC,,145,$0 ,FULL,1,PART,1,13 X 15,L,10 X 15,L,10 X 15,1,22 X 16,L,13 X 12,1,2 X 3,1,11 X 15,1,14 X 15,1,"US 27 TO R. BUNNING LANE, R SPRINGHOUSE, R.
BLUESTONE CT.",,,FULL,L,11 X 12,1,,,,,,,13 X 16,L
531 WINTERS LANE,"$193,500 ",7,4,Jan-00,2 Story,Part,None,COLD SPRING,CAMPBELL CO,250287,Single Family,COLDWELL BANKER WEST SHELL,(606) 781-5000,CASSIE WUEST,(606) 781-5000,"26 HILLSIDE ACRES WITH 2 HOUSES AND 8 STALL BARN. NICE RIVER VIEWS
FROM TOP OF HILL. SMALL HOUSE COULD BE RENTED OUT. LARGER HOME NEEDS
WORK. GREAT FOR HORSES, INVESTOR, BUILDER, OR REHABBER. CALL CASSIE
483-4434.",Alum,Oil,None,None,None,Cistern,Septic,OF RECORD,,0,$0 ,FULL,1,,,12 X 13,1,15 X 13,2,14 X 9,1,,,14 X 14,1,,,14 X 15,1,12 X 13,1,"27 L.ON 1998,L. ORCHARD TERR,L. WINTERS PROPERTY
ON LEFT.",,,,,,,15 X 13,2,,,,,,
133 MURNAN RD,"$157,900 ",8,3,Feb-00,1 Story,Full,"3 Cars (Builtin,Detached)",COLD SPRING,CAMPBELL CO,250151,Single Family,TEEGARDEN REALTY & AUCTION,(606) 635-1760,JOY HODGES,(606) 635-1760,"VERY NICE WELL MAINTAINED HOME 2 CAR GARAGE & DETACHED GARAGE 28 X 30
WITH SEPERATE METER STORAGE SHED 8 X 12 REAR DECK 14 X 28 NEW KIT
CABINETS. BERB CARPET THROUGH OUT.",Brick,Oil,Central Air,Wood,None,Public,Private,700 X 235,,0,$0 ,FULL,1,FULL,L,12 X 11,1,11 X 11,1,14 X 11,1,15 X 33,L,13 X 11,1,10 X 8,L,18 X 14,1,12 X 11,1,"US 27 TO MURNAN ROAD ACROSS FROM COLD SPR ING
ELEMENTARY SCHOOL",,,,,,,,,,,,,,
36 SPRINGSIDE,"$114,900 ",6,2,Feb-00,2 Story,None,1 Car (Attached),SPRINGSIDE,CAMPBELL CO,249577,Condominium,COLDWELL BANKER WEST SHELL,(606) 781-5000,KIMBERLY MURPHY CARLISLE,(606) 781-5000,"LOVELY TOWNHOME W/OPEN DESIGN, 2 LARGE BEDRMS, GARDEN TUB, PARQUET
ENTRY. W/O TO PRIVATE PATIO. WOODED VIEW. OAK CABINETRY, PRETTY KIT,
GARAGE W/ OPENER AND ALL APPLIANCES STAY,1ST FLR BR, 1ST FLR LNDRY,
DESIGNER DECOR.",Brick,"Gas,Forced Air",Central Air,"Gas,Marble",Natural,Public,Public,N/A,,110,$0 ,FULL,1,FULL,2,15 X 11,1,,,10 X 9,1,,,10 X 8,1,5 X 5,1,16 X 11,1,21 X 14,2,471 TO 27 TO SPRINGSIDE CONDOMINIUMS.,,,,,,,,,,,,,,
302 MENDOCINO CT,"$107,900 ",6,2,Feb-00,1 Story,None,"1 Car (Attached,Front)",CAMPBELL CO,CAMPBELL CO,249351,Condominium,FISCHER MANAGEMENT,(606) 341-4709,R. CASEY HUBER,(606) 341-4709,NEW FISCHER HOME THE AUGUSTA=OPTONS AVAILABLE MODEL #442-0007,"Brick,Alum","Electric,Heat Pump",Central Air,Wood,None,Public,Public,IRREG LOT,2,0,$0 ,FULL,1,FULL,1,14 X 10,2,,,10 X 12,1,,,10 X 12,1,,,13 X 20,1,16 X 13,1,"HIGHLAND HEIGHTS-POOLES CREEK OFF US42 CALL
606-442-0007",,,,,12 X 10,1,,,,,,,,
111 WAYSIDE COURT,"$104,900 ",6,2,1-Feb,2 Story,None,1 Car (Attached),SPRINGSIDE,CAMPBELL CO,247959,Condominium,COLDWELL BANKER WEST SHELL,(606) 781-5000,KIMBERLY MURPHY CARLISLE,(606) 781-5000,"VERY PRETTY, STYLISH TOWNHOME! 2 STRY FOYER W/PLANT LEDGE, PARQUET IN
FOYER & KITCHN, MSTR W/VAULTED CEIL & CALIFORNIA CLOSET, 10FT CEIL IN
2ND BR, WDBRN FRPLC W/MANTLE, SECURITY SYS, PVT PATIO, GARDEN TUB,
LOVELY DECOR!","Brick,Alum",Gas,Central Air,"Wood,Ceramic",Natural,Public,Public,OF RECORD,,110,$0 ,FULL,2,FULL,2,13 X 11,2,,,14 X 10,1,,,13 X 11,1,9 X 8,2,21 X 12,1,15 X 13,2,"471 OR AA HWY TO US27 TO SPRINGSIDE CONDOS, RT
ON WAYSIDE",,,PART,1,,,,,,,,,,
10 SPRINGSIDE DR,"$99,900 ",6,2,1-Jan,2 Story,None,1 Car (Attached),SPRINGSIDE CON,CAMPBELL CO,245996,Condominium,COLDWELL BANKER WEST SHELL,(606) 781-5000,KIMBERLY MURPHY CARLISLE,(606) 781-5000,"BRIGHT & CHEERY! PARQUET ENTRY, WHITE WASHED OAK CABINETRY, MICROWAVE
STAYS WDBRN FRPLC, FULL BA INCL GARDEN TUB & DBL BOWL VANITY, 2 WALK
IN CLOSETS PLEATED SHADES THRUOUT, GARAGE W/OPENER, SHOP & COMPARE,
THIS IS A DEAL!","Brick,Alum","Gas,Forced Air",Central Air,Wood,Natural,Public,Public,N/A,,110,$0 ,FULL,2,PART,1,11 X 11,2,,,13 X 10,1,,,11 X 11,1,6 X 5,2,19 X 11,1,14 X 12,2,471 TO US 27 TO SPRINGSIDE CONDOMINIUMS,,,,,,,,,,,,,,
71 DODSWORTH LN,"$89,900 ",5,2,Jan-00,1 Story,Full,1 Car (Detached),COLD SPRING,CAMPBELL CO,249840,Single Family,SIBCY-CLINE REALTORS INC,(606) 781-4400,TONY HERMS,(606) 781-4400,"2 BDRM RANCH IN COLD SPRING*NEUTRAL DECOR*CONVEINENT LOCATION*NEWER
KITCHEN BATH,ROOF AND ELECTRICAL SERVICE*VERY NICE YARD WITH MATURE
TREES*1 CAR DET GARAGE*VERY CLEAN AND WELL MAINTAINED HOME ACROSS FROM
BUS STOP","Wood,Alum","Gas,Forced Air",Central Air,None,Natural,Public,Public,0,,0,$0 ,FULL,1,,,9 X 13,1,,,8 X 10,1,,,7 X 10,1,,,12 X 16,1,11 X 12,1,US27 S TO LT ON E ALEX PIKE TO LT ON DODSWORTH,,,,,,,,,,,,,,
302 MENDOCINO CT,"$89,900 ",5,2,Feb-00,1 Story,None,"1 Car (Attached,Front)",CAMPBELL CO,CAMPBELL CO,249376,Condominium,FISCHER MANAGEMENT,(606) 341-4709,R. CASEY HUBER,(606) 341-4709,NEW FISCHER HOME THE SAVANNAH-OPTIONS AVAILABLE MODEL #606-442-0007,"Brick,Alum","Electric,Heat Pump",Central Air,Wood,None,Public,Public,N/A,2,0,$0 ,FULL,1,FULL,1,11 X 10,1,,,10 X 11,1,,,10 X 10,1,,1,15 X 21,1,12 X 17,1,"HIGHLAND HTS-POOLES CREEK RD-OFF US 27 CALL
606-442-0007",,,,,,,,,,,,,,
3 R BOX 1A UNION,"$129,900 ",6,3,Jan-00,1 Story,Part,None,CALIFORNIA,CAMPBELL CO,249297,Single Family,COLDWELL BANKER WEST SHELL,(606) 781-5000,CANDY BROWN,(606) 781-5000,RESIDENTIAL/AGRICULTURAL,Vinyl,"Electric,Heat Pump",Central Air,"Wood,Stone",None,Public,Septic,OF REC,,0,$0 ,FULL,1,,,9 X 14,1,13 X 19,1,8 X 16,1,,,9 X 15,1,6 X 5,1,15 X 15,1,15 X 15,1,"S. ON AA HIGHWAY, L. ON CALIFORNIA CROSS ROAD,
L. ON RT 8. R. ON UNION ST.1ST ON L",,,,,,,,,,,,,,
6231 CASTLEOAK,"$180,560 ",7,3,1-Feb,2 Story,Full,2 Cars (Attached),FLORENCE,BOONE COUNT,242165,Single Family,THE DREES COMPANY,(606) 578-4200,JACK MILLER,(606) 578-4200,"CALL JULIE MAI FOR SHOWING AT *282-0751* THE OAKMONT IS A 3 BEDROOM
WITH OWNER SUITE HAVING GARDEN BATH W/CATHEDRAL CEILING*EXT FAMILY
WITH FIREPLACE IN POOL COMMUNITY","Brick,Vinyl",Gas,Central Air,Gas,Natural,Public,Public,irr,,0,$NA,FULL,2,FULL,2,10 X 12,2,10 X 12,2,10 X 11,,16 X 15,,9 X 10,,,,11 X 11,,16 X 11,2,"I75 S TO W ON KY18*LEFT ON OAKBROOK TO LT ON FOX
RUN TO LEFT ON CASTEOAK",8 X 9,,PART,1,,,,,,,,,,
